"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"2947","4","19","Serious Assault Not Resulting in Injury","Patea.",1661000,"South Taranaki District.",3,"West Coast/ Upper-Central North",NA
"2948","4","19","Serious Assault Resulting in Injury","Onehunga South East.",599400,"Auckland.",3,"Auckland",NA
"2949","4","19","Aggravated Sexual Assault","Paeroa.",1073500,"Hauraki District.",3,"Waikato",NA
"2950","4","19","Non-Aggravated Sexual Assault","999999",-307,"Kaikoura District.",3,"Canterbury",NA
"2951","4","19","Non-Aggravated Sexual Assault","Mackenzie.",2814500,"Mackenzie District.",3,"Canterbury",NA
"2952","4","19","Aggravated Sexual Assault","Otakaro Park.",3108500,"Invercargill City.",3,"Southland/ Otago",NA
"2953","4","19","Non-Aggravated Sexual Assault","Hastings Central.",1492500,"Hastings District.",3,"Hawkes Bay/ Gisborne",NA
"2954","4","19","Aggravated Sexual Assault","Westown.",1575300,"New Plymouth District.",3,"West Coast/ Upper-Central North",NA
"2979","3","19","Common Assault","Tauranga Hospital.",1169400,"Tauranga City.",4,"Bay Of Plenty",NA
"2980","3","19","Common Assault","Hastings Central.",1492700,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"2981","3","19","Common Assault","Glen Eden East.",285800,"Auckland.",4,"Auckland",NA
"2982","3","19","Common Assault","Lansdowne.",2252000,"Masterton District.",4,"Wellington/ Lower-Central North",NA
"2983","3","19","Common Assault","Te Awamutu South.",973600,"Waipa District.",4,"Waikato",NA
"2984","3","19","Common Assault","Palmerston North Hospital.",1832800,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"2985","3","19","Serious Assault Not Resulting in Injury","Newton.",412000,"Auckland.",4,"Auckland",NA
"2986","3","19","Serious Assault Not Resulting in Injury","Naenae South.",1961700,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"2987","3","19","Serious Assault Resulting in Injury","Oranga.",603800,"Auckland.",4,"Auckland",NA
"2988","3","19","Serious Assault Resulting in Injury","Oranga.",605300,"Auckland.",4,"Auckland",NA
"2989","3","19","Common Assault","Regent.",95800,"Whangarei District.",4,"Northland",NA
"2990","3","19","Common Assault","Te Hapara.",1368400,"Gisborne District.",4,"Hawkes Bay/ Gisborne",NA
"2991","3","19","Common Assault","Northcote.",2665000,"Christchurch City.",4,"Canterbury",NA
"2992","3","19","Common Assault","Westown.",1574900,"New Plymouth District.",4,"West Coast/ Upper-Central North",NA
"2993","3","19","Serious Assault Not Resulting in Injury","Abbotsford.",2980202,"Dunedin City.",4,"Southland/ Otago",NA
"2994","3","19","Serious Assault Not Resulting in Injury","Bridge Pa.",1470213,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"2995","3","19","Serious Assault Resulting in Injury","St Lukes.",534400,"Auckland.",4,"Auckland",NA
"2996","3","19","Serious Assault Resulting in Injury","Upper Hutt Central.",1906200,"Upper Hutt City.",4,"Wellington/ Lower-Central North",NA
"2997","3","19","Common Assault","Whangarei Central.",100700,"Whangarei District.",4,"Northland",NA
"2998","3","19","Common Assault","Willis Street-Cambridge Terrace.",2136000,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"2999","3","19","Common Assault","Porirua Central.",2053106,"Porirua City.",4,"Wellington/ Lower-Central North",NA
"3000","3","19","Common Assault","Porirua Central.",2052400,"Porirua City.",4,"Wellington/ Lower-Central North",NA
"3001","3","19","Common Assault","Tokoroa Central.",1143000,"South Waikato District.",4,"Waikato",NA
"3002","3","19","Common Assault","Te Atatu Central.",250200,"Auckland.",4,"Auckland",NA
"3003","3","19","Common Assault","Mahia.",1400600,"Wairoa District.",4,"Hawkes Bay/ Gisborne",NA
"3004","3","19","Common Assault","Maoribank.",1913303,"Upper Hutt City.",4,"Wellington/ Lower-Central North",NA
"3005","3","19","Serious Assault Not Resulting in Injury","Auckland Central West.",433802,"Auckland.",4,"Auckland",NA
"3006","3","19","Serious Assault Not Resulting in Injury","Mt Wellington South.",639800,"Auckland.",4,"Auckland",NA
"3007","3","19","Serious Assault Not Resulting in Injury","Kaitaia East.",13400,"Far North District.",4,"Northland",NA
"3008","3","19","Serious Assault Resulting in Injury","Palmerston North Central.",1829200,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"3009","3","19","Serious Assault Resulting in Injury","Tauhoa-Puhoi.",146703,"Auckland.",4,"Auckland",NA
"3010","3","19","Serious Assault Resulting in Injury","Taradale North.",1457900,"Napier City.",4,"Hawkes Bay/ Gisborne",NA
"3011","3","19","Serious Assault Resulting in Injury","Takanini North.",768100,"Auckland.",4,"Auckland",NA
"3012","3","19","Serious Assault Resulting in Injury","Grafton East.",442400,"Auckland.",4,"Auckland",NA
"3013","3","19","Common Assault","North Dunedin.",2865700,"Dunedin City.",4,"Southland/ Otago",NA
"3014","3","19","Common Assault","Rowandale.",775805,"Auckland.",4,"Auckland",NA
"3015","3","19","Common Assault","Hastings Central.",1489000,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"3016","3","19","Common Assault","Takapuna Central.",326202,"Auckland.",4,"Auckland",NA
"3017","3","19","Common Assault","Lynmouth.",1583201,"New Plymouth District.",4,"West Coast/ Upper-Central North",NA
"3018","3","19","Common Assault","Palmerston North Central.",1827100,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"3019","3","19","Common Assault","Huntly East.",943100,"Waikato District.",4,"Waikato",NA
"3020","3","19","Serious Assault Not Resulting in Injury","Roslyn.",1844500,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"3021","3","19","Serious Assault Not Resulting in Injury","Hillpark.",757100,"Auckland.",4,"Auckland",NA
"3022","3","19","Serious Assault Not Resulting in Injury","Hamilton Lake.",932400,"Hamilton City.",4,"Waikato",NA
"3023","3","19","Serious Assault Resulting in Injury","Point England.",477700,"Auckland.",4,"Auckland",NA
"3024","3","19","Serious Assault Resulting in Injury","Holborn.",1932000,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"3025","3","19","Serious Assault Resulting in Injury","Burnham Military Camp.",2468100,"Selwyn District.",4,"Canterbury",NA
"3026","3","19","Serious Assault Resulting in Injury","Avalon West.",1942701,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"3027","3","19","Common Assault","Auckland Central East.",437101,"Auckland.",4,"Auckland",NA
"3028","3","19","Common Assault","Auckland Central East.",436100,"Auckland.",4,"Auckland",NA
"3029","3","19","Common Assault","Parklands.",2504109,"Christchurch City.",4,"Canterbury",NA
"3030","3","19","Common Assault","Mangapa-Matauri Bay.",18100,"Far North District.",4,"Northland",NA
"3031","3","19","Common Assault","Marton.",1731001,"Rangitikei District.",4,"West Coast/ Upper-Central North",NA
"3032","3","19","Serious Assault Not Resulting in Injury","Hospital Hill.",1425000,"Napier City.",4,"Hawkes Bay/ Gisborne",NA
"3033","3","19","Serious Assault Resulting in Injury","Rangiora North.",2444002,"Waimakariri District.",4,"Canterbury",NA
"3034","3","19","Serious Assault Resulting in Injury","Te Rapa.",907900,"Hamilton City.",4,"Waikato",NA
"3035","3","19","Common Assault","Paparua.",2494600,"Christchurch City.",4,"Canterbury",NA
"3036","3","19","Common Assault","Wattle Farm.",769035,"Auckland.",4,"Auckland",NA
"3037","3","19","Common Assault","Palm Beach.",1205005,"Tauranga City.",4,"Bay Of Plenty",NA
"3038","3","19","Common Assault","Redoubt North.",715704,"Auckland.",4,"Auckland",NA
"3039","3","19","Serious Assault Not Resulting in Injury","Waikanae East.",1876300,"Kapiti Coast District.",4,"Wellington/ Lower-Central North",NA
"3040","3","19","Serious Assault Not Resulting in Injury","Elsdon-Takapuwahia.",2037200,"Porirua City.",4,"Wellington/ Lower-Central North",NA
"3041","3","19","Serious Assault Resulting in Injury","Queenstown Bay.",3033500,"Queenstown-Lakes District.",4,"Southland/ Otago",NA
"3042","3","19","Serious Assault Resulting in Injury","Dinsdale North.",920000,"Hamilton City.",4,"Waikato",NA
"3043","3","19","Common Assault","Bruce.",2988300,"Clutha District.",4,"Southland/ Otago",NA
"3044","3","19","Common Assault","Hikuai.",1059612,"Thames-Coromandel District.",4,"Waikato",NA
